UniprotID,GeneName,Perturbation,CellLine,KSEA_z_score
P06493,CDK1,CAL101,HL60,-0.5656081112271728
P06493,CDK1,GDC0941,HL60,0.2742256405361749
P06493,CDK1,HS173,HL60,0.050112244294331164
P06493,CDK1,PIK294,HL60,-0.5287239483689181
P06493,CDK1,TGX221,HL60,0.19336958850696048
P06493,CDK1,AZD8055,HL60,0.4562035756584254
P06493,CDK1,GDC0994,HL60,2.1931832378027436
P06493,CDK1,JNK,HL60,0.854677653618306
P06493,CDK1,LY2584702,HL60,1.641825007936152
P06493,CDK1,PH797804,HL60,2.6146510466041724
P06493,CDK1,Selumetinib,HL60,1.234555017350239
P06493,CDK1,U73122,HL60,0.13241490851511237
P06493,CDK1,Ulixertinib,HL60,-0.10778269836117467
P06493,CDK1,Amuvatinib,HL60,0.1415897528677026
P06493,CDK1,AZD3759,HL60,0.060482798319262183
P06493,CDK1,GSK690693,HL60,1.6606249129007808
P06493,CDK1,JNJ,HL60,-0.007835493959591409
P06493,CDK1,KN62,HL60,-0.5055132978210983
P06493,CDK1,Linsitinib,HL60,0.6634094747033571
P06493,CDK1,LY2835219,HL60,1.7970386440928936
P06493,CDK1,Ribociclib,HL60,0.3241199605276735
P06493,CDK1,AC220,HL60,0.6041962463730414
P06493,CDK1,Edelfosine,HL60,1.8191671908914027
P06493,CDK1,GF109203X,HL60,2.068814933580765
P06493,CDK1,Go6976,HL60,0.9130601995996155
P06493,CDK1,PF4708671,HL60,1.5437649837191825
P06493,CDK1,SP600125,HL60,-0.014014107017043071
P06493,CDK1,TAK715,HL60,2.098830539166118
P06493,CDK1,TBCA,HL60,0.5455567057462178
P06493,CDK1,AT13148,HL60,-0.4987532914067569
P06493,CDK1,AZ20,HL60,0.7827066972830539
P06493,CDK1,AZD6738,HL60,0.6740891979720901
P06493,CDK1,Bosutinib,HL60,-0.05593465223582127
P06493,CDK1,Dabrafenib,HL60,-2.746597658063106
P06493,CDK1,Dasatinib,HL60,1.1055842735188393
P06493,CDK1,DNAPK,HL60,0.5188606453661314
P06493,CDK1,H89,HL60,1.4088223584951232
P06493,CDK1,KD025,HL60,-2.8590366420767044
P06493,CDK1,NU7441,HL60,-0.4666290740931946
P06493,CDK1,Ripasudil,HL60,-0.9990425657523444
P06493,CDK1,Vemurafenib,HL60,-0.3738530535988194
P06493,CDK1,CX4945,HL60,0.17167543922722125
P06493,CDK1,GO6983,HL60,-0.20612057720858223
P06493,CDK1,KN93,HL60,1.22655117887916
P06493,CDK1,MK2206,HL60,1.0171302328361604
O15530,PDPK1,AZD5438,HL60,0.2532121498282354
O15530,PDPK1,FRAX486,HL60,-0.4242086601545987
O15530,PDPK1,Ku0063794,HL60,-0.3702482854625428
O15530,PDPK1,PD153035,HL60,0.5839214292000475
O15530,PDPK1,PF3758309,HL60,-0.28146009369209685
O15530,PDPK1,Torin,HL60,-0.6665940631363229
O15530,PDPK1,Trametinib,HL60,-0.47817965255941786
O15530,PDPK1,AZD1480,HL60,0.9860460461409923
O15530,PDPK1,AZD5363,HL60,3.3041960716984056
O15530,PDPK1,BX912,HL60,0.3309387001881207
O15530,PDPK1,CHIR99021,HL60,2.8662909339171185
O15530,PDPK1,GSK2334470,HL60,-0.15237168102213897
O15530,PDPK1,Ipatasertib,HL60,1.0062778144136233
O15530,PDPK1,LY2090314,HL60,1.177929763672984
O15530,PDPK1,Tofacitinib,HL60,1.1690593934814968
O15530,PDPK1,AZD6482,HL60,-1.5978143244094563
O15530,PDPK1,CAL101,HL60,-0.20960660705958206
O15530,PDPK1,GDC0941,HL60,-1.4074749447887716
O15530,PDPK1,HS173,HL60,0.955981540330277
O15530,PDPK1,PIK294,HL60,0.060554874184033124
O15530,PDPK1,TGX221,HL60,-0.5786776008007886
O15530,PDPK1,AZD8055,HL60,1.151889506335803
O15530,PDPK1,GDC0994,HL60,0.633374631106537
O15530,PDPK1,JNK,HL60,0.7299161247660948
O15530,PDPK1,LY2584702,HL60,0.3590141509847433
O15530,PDPK1,PH797804,HL60,0.2881962246566949
O15530,PDPK1,Selumetinib,HL60,-0.5299885801934099
O15530,PDPK1,U73122,HL60,0.7111912272430697
O15530,PDPK1,Ulixertinib,HL60,0.9430738029933557
O15530,PDPK1,Amuvatinib,HL60,0.3680233989992254
O15530,PDPK1,AZD3759,HL60,0.8677244438836968
O15530,PDPK1,GSK690693,HL60,1.993763757215747
O15530,PDPK1,JNJ,HL60,1.601963207594412
O15530,PDPK1,KN62,HL60,1.776521719057845
O15530,PDPK1,Linsitinib,HL60,0.8866491103822303
O15530,PDPK1,LY2835219,HL60,1.390695436024757
O15530,PDPK1,Ribociclib,HL60,0.7932632497292836
O15530,PDPK1,AC220,HL60,-1.4691485156626136
O15530,PDPK1,Edelfosine,HL60,3.497131622768684
O15530,PDPK1,GF109203X,HL60,2.3771878461318297
O15530,PDPK1,Go6976,HL60,0.7000518509725241
O15530,PDPK1,PF4708671,HL60,0.40724724262204953
O15530,PDPK1,SP600125,HL60,1.557803757334572
O15530,PDPK1,TAK715,HL60,2.559450870725167
O15530,PDPK1,TBCA,HL60,-0.2626746908490325
O15530,PDPK1,AT13148,HL60,-0.7584864340072244
O15530,PDPK1,AZ20,HL60,-1.3634715753218976
O15530,PDPK1,AZD6738,HL60,-0.35778554929819567
O15530,PDPK1,Bosutinib,HL60,-0.05691223014109793
O15530,PDPK1,Dabrafenib,HL60,-0.943690957249954
O15530,PDPK1,Dasatinib,HL60,0.36246456673842953
O15530,PDPK1,DNAPK,HL60,0.58169162824753
O15530,PDPK1,H89,HL60,0.7498658304064882
O15530,PDPK1,KD025,HL60,-1.8817727310507262
O15530,PDPK1,NU7441,HL60,0.15734138411118426
O15530,PDPK1,Ripasudil,HL60,0.08006351096810851
O15530,PDPK1,Vemurafenib,HL60,0.3820648614480165
O15530,PDPK1,CX4945,HL60,-0.9956483611513335
O15530,PDPK1,GO6983,HL60,-1.2186737480937184
O15530,PDPK1,KN93,HL60,-0.6749499043547921
O15530,PDPK1,MK2206,HL60,-2.6410576465257587
P07949,RET,AZD5438,HL60,0.6266114529911757
P07949,RET,FRAX486,HL60,5.2554673754172105
P07949,RET,Ku0063794,HL60,0.47671306869736185
P07949,RET,PD153035,HL60,0.12782993857045596
P07949,RET,PF3758309,HL60,1.6819518511654379
P07949,RET,Torin,HL60,0.3433274069749242
P07949,RET,Trametinib,HL60,-6.349690406922493
P07949,RET,AZD1480,HL60,0.26605767922578694
P07949,RET,AZD5363,HL60,0.8771478161783477
P07949,RET,BX912,HL60,1.1939445554373243
P07949,RET,CHIR99021,HL60,-0.14560690306572754
P07949,RET,GSK2334470,HL60,1.6160383638882503
P07949,RET,Ipatasertib,HL60,0.06963770208307293
P07949,RET,LY2090314,HL60,-0.9741810129605409
P07949,RET,Tofacitinib,HL60,-0.4816500036435871
P07949,RET,AZD6482,HL60,-0.5190139193769122
P07949,RET,CAL101,HL60,-0.885749594025737
P07949,RET,GDC0941,HL60,-0.8265374659424215
P07949,RET,HS173,HL60,-2.124920374918599
P07949,RET,PIK294,HL60,-0.5288370380691254
P07949,RET,TGX221,HL60,-0.29058447071703253
P07949,RET,AZD8055,HL60,0.16068822330264648
P07949,RET,GDC0994,HL60,0.11512201826341774
P07949,RET,JNK,HL60,0.18434664321999528
P07949,RET,LY2584702,HL60,0.7442552422889908
P07949,RET,PH797804,HL60,0.07809362651045113
P07949,RET,Selumetinib,HL60,-2.5519953606662162
P07949,RET,U73122,HL60,-0.9213106138498501
P07949,RET,Ulixertinib,HL60,2.247039940109365
P07949,RET,Amuvatinib,HL60,-0.1291421506871152
P07949,RET,AZD3759,HL60,0.8470709194542784
P07949,RET,GSK690693,HL60,1.3582298770169998
P07949,RET,JNJ,HL60,-0.34337946215438786
P07949,RET,KN62,HL60,2.002350044528892
P07949,RET,Linsitinib,HL60,-1.176926657562856
P07949,RET,LY2835219,HL60,0.6376455916359866
P07949,RET,Ribociclib,HL60,1.1730144454582137
P07949,RET,AC220,HL60,0.5820300238314173
P07949,RET,Edelfosine,HL60,-2.028345736218034
P07949,RET,GF109203X,HL60,-0.5512644146528978
P07949,RET,Go6976,HL60,0.4562043668668438
P07949,RET,PF4708671,HL60,0.0514290637136777
P07949,RET,SP600125,HL60,0.05150264578017524
P07949,RET,TAK715,HL60,0.2628656574621308
P07949,RET,TBCA,HL60,0.41306169712994917
P07949,RET,AT13148,HL60,-0.6554995752984658
P07949,RET,AZ20,HL60,1.0397382608241565
P07949,RET,AZD6738,HL60,1.0566991516185253
P07949,RET,Bosutinib,HL60,2.1484074956917825
P07949,RET,Dabrafenib,HL60,1.912939981220431
P07949,RET,Dasatinib,HL60,0.5523997397200353
P07949,RET,DNAPK,HL60,0.8275991112232441
P07949,RET,H89,HL60,0.9207918959574235
P07949,RET,KD025,HL60,1.0042743501285112
P07949,RET,NU7441,HL60,0.5953996723224358
P07949,RET,Ripasudil,HL60,-0.7394544660949007
P07949,RET,Vemurafenib,HL60,-0.14575395391830825
P07949,RET,CX4945,HL60,0.5175055844652058
P07949,RET,GO6983,HL60,0.1675091397591427
P07949,RET,KN93,HL60,0.42027732006920054
P07949,RET,MK2206,HL60,0.7713159287971207
O43318,MAP3K7,AZD5438,HL60,-1.0109649318240832
O43318,MAP3K7,FRAX486,HL60,1.0485303223741558
O43318,MAP3K7,Ku0063794,HL60,-0.37001021825027414
O43318,MAP3K7,PD153035,HL60,0.6168983902475371
O43318,MAP3K7,PF3758309,HL60,-0.9591355738717458
O43318,MAP3K7,Torin,HL60,0.02390765628810458
O43318,MAP3K7,Trametinib,HL60,1.182083580314783
O43318,MAP3K7,AZD1480,HL60,1.1530533529980003
O43318,MAP3K7,AZD5363,HL60,1.258415406029843
O43318,MAP3K7,BX912,HL60,1.13551103945763
O43318,MAP3K7,CHIR99021,HL60,1.238177462995851
O43318,MAP3K7,GSK2334470,HL60,0.884551927331913
O43318,MAP3K7,Ipatasertib,HL60,0.4228656144895686
O43318,MAP3K7,LY2090314,HL60,0.48313697504575687
O43318,MAP3K7,Tofacitinib,HL60,1.4807284187638508
O43318,MAP3K7,AZD6482,HL60,-1.150806126867685
O43318,MAP3K7,CAL101,HL60,-0.6975492287985455
O43318,MAP3K7,GDC0941,HL60,0.057536483189842204
O43318,MAP3K7,HS173,HL60,-0.4283800564062736
O43318,MAP3K7,PIK294,HL60,0.1761329313396663
O43318,MAP3K7,TGX221,HL60,0.31964617409598106
O43318,MAP3K7,AZD8055,HL60,-0.31748885200693827
O43318,MAP3K7,GDC0994,HL60,0.6311395407810599
O43318,MAP3K7,JNK,HL60,-0.5678640426154192
O43318,MAP3K7,LY2584702,HL60,-0.6154771619663034
O43318,MAP3K7,PH797804,HL60,0.6170291883773363
O43318,MAP3K7,Selumetinib,HL60,0.35991278314457986
O43318,MAP3K7,U73122,HL60,-1.2471129458403198
O43318,MAP3K7,Ulixertinib,HL60,-0.9346753537910294
O43318,MAP3K7,Amuvatinib,HL60,-0.6445775584221685
O43318,MAP3K7,AZD3759,HL60,0.25120551588847084
O43318,MAP3K7,GSK690693,HL60,-0.18819453411279513
O43318,MAP3K7,JNJ,HL60,-0.08796979688956934
O43318,MAP3K7,KN62,HL60,-0.22702214994184164
O43318,MAP3K7,Linsitinib,HL60,0.021888835983063838
O43318,MAP3K7,LY2835219,HL60,-0.029594799588560424
O43318,MAP3K7,Ribociclib,HL60,-0.30603470387820336
O43318,MAP3K7,AC220,HL60,-1.337658645050928
O43318,MAP3K7,Edelfosine,HL60,0.7298364820832166
O43318,MAP3K7,GF109203X,HL60,0.13082306794156068
O43318,MAP3K7,Go6976,HL60,1.3394087081854351
O43318,MAP3K7,PF4708671,HL60,0.7034156813550249
O43318,MAP3K7,SP600125,HL60,-1.8483211431474986
O43318,MAP3K7,TAK715,HL60,-0.06543980252609206
O43318,MAP3K7,TBCA,HL60,0.7353490745344927
O43318,MAP3K7,AT13148,HL60,-0.12112013488705382
O43318,MAP3K7,AZ20,HL60,0.3372092320885587
O43318,MAP3K7,AZD6738,HL60,0.3726551695728402
O43318,MAP3K7,Bosutinib,HL60,-0.5157585876267177
O43318,MAP3K7,Dabrafenib,HL60,-0.43747279612409073
O43318,MAP3K7,Dasatinib,HL60,-0.5063583151039485
O43318,MAP3K7,DNAPK,HL60,-0.7308220788394358
O43318,MAP3K7,H89,HL60,0.7441062976925898
O43318,MAP3K7,KD025,HL60,-0.9198270732395034
O43318,MAP3K7,NU7441,HL60,-2.6362930598553938
O43318,MAP3K7,Ripasudil,HL60,0.4319343089840916
O43318,MAP3K7,Vemurafenib,HL60,0.06321389377952509
O43318,MAP3K7,CX4945,HL60,-0.16373762392886007
O43318,MAP3K7,GO6983,HL60,0.90524943983954
O43318,MAP3K7,KN93,HL60,-0.5561988105572648
O43318,MAP3K7,MK2206,HL60,-0.13657885637185477
Q04759,PRKCQ,AZD5438,HL60,1.082796606862432
Q04759,PRKCQ,FRAX486,HL60,5.447123190817025
Q04759,PRKCQ,Ku0063794,HL60,0.9565609009295257
Q04759,PRKCQ,PD153035,HL60,0.5467423117064443
Q04759,PRKCQ,PF3758309,HL60,1.0932089904566746
